N,count
*,802704
EB*,42550
SB*,22975
Pe*,14760
PM*,13561
RG*,8814
HB*,6059
Em*,5513
RR*,4595
V*,4581
RS*,3093
Pu*,2948
**,2531
LP*,2239
LP?,1889
AB?,1846
BY*,1713
WD*,1600
dS*,1427
gD*,1343
G,1342
HS?,1118
Y*?,999
HS*,947
Er*,498
Pl?,393
HV*,388
CV*,380
EB?,378
RB?,348
WD?,321
Pl,296
Ro*,263
HB?,222
C*,206
Rad,197
AB*,192
BS*,168
Mi*,157
GiC,144
LM*,127
UV,101
RR?,88
S*,82
cC*,74
X,73
SB?,63
IR,60
WV*,59
a2*,58
TT*,48
Or*,42
Ce*,38
C*?,37
CV?,36
BiC,34
S*?,34
Q?,33
Y*O,31
blu,31
err,29
QSO,28
Be*,28
NIR,27
El*,27
CGG,21
RV*,21
TT?,19
ClG,18
FIR,15
AG?,15
mul,13
Sy*,12
PN,12
pA*,10
rG,10
EmG,10
GrG,9
SX*,9
XB*,8
BS?,8
gB,8
ev,8
Ir*,7
V*?,7
?,7
Sy1,6
s*b,6
s*r,6
Be?,4
s?r,4
Gl?,4
sg*,3
As*,3
HII,3
Bz?,3
Sy2,3
BD*,3
BD?,3
BLL,3
AGN,2
bC*,2
RC*,2
HVC,2
G?,2
gam,2
Ae*,2
OH*,2
GiP,2
GiG,2
MoC,2
OpC,2
Psr,2
MIR,2
Ce?,1
Mi?,1
IG,1
HI,1
LeI,1
Cl*,1
s?y,1
Ae?,1
LSB,1
SN*,1
HXB,1
No*,1
GNe,1
SyG,1
LXB,1
PaG,1
