# VOSA input — GES x PaStA bright sources (W1 < 8 mag)
# Extinction: fixed Av from Gaia DR3 GSP-Phot A_G (Av = A_G / 0.836)
# Sources without Gaia Av use a fitting range Av:0/2 (column 10)
# W1, W2 marked nofit (AllWISE saturation)
# Chamaeleon YSO candidates marked in comments
# Columns: name  RA  Dec  dist_pc  Av  filter  mag  e_mag  pt_opt  obj_opt
#

085128981150330                 132.870697  11.842473  848.4  ---  GALEX/GALEX.FUV         ---  ---  ---  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  GALEX/GALEX.NUV         17.4981  0.0632  mag  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  GAIA/GAIA3.Gbp          10.7924  0.0004  mag  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  GAIA/GAIA3.G            10.2369  0.0002  mag  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  GAIA/GAIA3.Grp          9.5344  0.0002  mag  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  2MASS/2MASS.J           8.5660  0.0240  mag  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  2MASS/2MASS.H           8.0720  0.0180  mag  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  2MASS/2MASS.Ks          7.9580  0.0240  mag  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  WISE/WISE.W1            7.8670  0.0270  nofit  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  WISE/WISE.W2            7.9890  0.0200  nofit  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  WISE/WISE.W3            7.8910  0.0200  mag  Av:0/2
085128981150330                 132.870697  11.842473  848.4  ---  WISE/WISE.W4            8.2540  0.3210  mag  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  GALEX/GALEX.FUV         ---  ---  ---  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  GALEX/GALEX.NUV         18.2958  0.0974  mag  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  GAIA/GAIA3.Gbp          10.5594  0.0004  mag  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  GAIA/GAIA3.G            9.9219  0.0002  mag  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  GAIA/GAIA3.Grp          9.1585  0.0002  mag  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  2MASS/2MASS.J           8.1400  0.0270  mag  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  2MASS/2MASS.H           7.5260  0.0180  mag  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  2MASS/2MASS.Ks          7.3850  0.0210  mag  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  WISE/WISE.W1            7.2250  0.0360  nofit  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  WISE/WISE.W2            7.4190  0.0200  nofit  Av:0/2
085117111148160                 132.821147  11.804429  860.5  ---  WISE/WISE.W3            7.3140  0.0170  mag  Av:0/2
